municode,iid,choice1,blue1,win1,group,grpmem,cogrpmem,idgroup,choice2,blue2,win2,renegade,renegadewin,head,urbr_2,female,yage,ysch,married,tcons,lcons,survhhsz,familyoutdeg,friendsoutdeg,insample
8,822,4,1,9000,1,8,7,807,4,1,9000,0,0,0,0,1,28,6,1,515237.03,13.152382,5,0,1,1
8,820,4,1,9000,1,8,7,807,3,1,7200,0,0,0,0,1,52,5,1,486890.13,13.095794,10,0,3,1
8,829,5,0,1000,1,3,2,810,2,1,5700,1,1,0,0,1,53,2,1,330351.31,12.707911,10,0,1,1
8,830,2,0,2700,1,3,2,810,2,1,5700,0,0,0,0,1,34,10,1,447624.63,13.01171,4,0,0,1
8,828,4,0,1800,1,3,2,810,2,0,2700,0,0,0,0,1,28,0,1,293506.97,12.589657,7,0,1,1
8,833,4,0,1800,1,3,2,813,6,1,12000,0,0,1,0,0,42,2,1,544143.13,13.206967,5,0,0,1
9,919,4,1,9000,1,4,3,901,3,1,7200,0,0,0,1,1,45,1,1,477466.88,13.07625,4,0,1,1
9,916,4,0,1800,1,4,3,901,6,1,12000,0,0,1,0,0,53,4,1,245447.48,12.410838,3,0,0,1
9,918,6,1,12000,1,4,3,901,6,1,12000,0,0,1,1,1,34,2,0,327304.09,12.698645,6,0,1,1
9,917,2,0,2700,1,4,3,901,4,0,1800,0,0,1,1,1,51,1,1,273527.38,12.519157,8,0,0,1
9,923,5,0,1000,1,4,3,902,6,0,0,0,0,0,1,1,37,1,1,133502.75,11.801877,5,0,0,1
9,920,3,1,7200,1,4,3,902,1,0,3000,0,0,1,0,1,50,3,0,138117.11,11.835857,3,0,0,1
9,921,2,1,5700,1,4,3,902,2,1,5700,0,0,0,0,1,36,5,1,241466.92,12.394487,4,0,0,1
9,922,1,0,3000,1,4,3,902,2,1,5700,0,0,1,0,1,50,2,0,248491.2,12.423162,5,0,0,1
9,912,3,0,2400,1,4,3,903,4,0,1800,0,0,0,0,0,72,3,1,703308.06,13.463551,7,0,0,1
9,914,3,,,1,4,3,903,2,1,5700,0,0,0,0,1,48,1,1,292997.25,12.587918,5,0,0,
9,915,4,1,9000,1,4,3,903,6,1,12000,0,0,1,0,0,36,2,1,300360.47,12.612739,4,0,0,1
9,911,2,1,5700,1,4,3,903,1,0,3000,0,0,0,0,1,48,4,1,403592.69,12.908161,7,0,0,1
9,909,2,1,5700,1,2,1,904,6,1,12000,0,0,0,0,0,19,7,0,192973.56,12.170308,7,0,0,1
9,910,2,1,5700,1,2,1,904,6,0,0,0,0,1,0,0,29,11,1,423662.09,12.956692,9,0,0,1
9,907,3,1,7200,1,2,1,905,4,0,1800,0,0,0,0,1,35,2,1,207019.77,12.240569,6,0,0,1
9,908,2,0,2700,1,2,1,905,2,0,2700,0,0,0,0,1,50,3,1,311490.06,12.649122,8,0,0,1
9,905,2,1,5700,1,2,1,906,6,1,12000,0,0,0,1,1,33,4,1,261352.83,12.473626,5,1,0,1
9,913,4,1,9000,1,2,1,906,4,0,1800,0,0,0,0,1,65,2,0,285752.22,12.562881,9,1,0,1
10,1005,6,1,12000,1,12,11,1001,4,1,9000,1,1,0,1,1,29,3,1,440126.03,12.994817,8,0,2,1
10,1010,5,1,11000,1,12,11,1001,5,1,11000,1,1,1,0,0,35,7,1,503460.22,13.12926,8,0,1,1
10,1003,3,1,7200,1,12,11,1001,5,1,11000,0,0,0,1,1,37,4,0,354912,12.779625,9,0,2,1
10,1012,2,1,5700,1,12,11,1001,6,1,12000,1,1,1,0,1,36,13,0,369090.19,12.818796,6,0,2,1
10,1007,4,0,1800,1,12,11,1001,5,1,11000,1,1,0,1,1,34,5,1,406305.94,12.914862,5,1,3,1
10,1009,3,1,7200,1,12,11,1001,5,1,11000,0,0,1,1,1,47,0,0,371796,12.8261,10,0,5,1
10,1006,5,1,11000,1,12,11,1001,5,0,1000,0,0,1,1,0,45,0,1,592213.94,13.291623,6,1,2,1
10,1004,6,1,12000,1,12,11,1001,4,0,1800,0,0,0,1,1,26,3,1,535567.5,13.191082,7,0,1,1
10,1008,2,0,2700,1,12,11,1001,3,1,7200,1,1,0,1,1,42,6,1,524297.88,13.169815,10,0,4,1
10,1002,3,0,2400,1,12,11,1001,4,1,9000,0,0,1,1,1,49,0,1,647624.25,13.381066,10,0,2,1
10,1011,4,1,9000,1,12,11,1001,4,1,9000,1,1,1,1,1,56,0,1,215893.09,12.282538,8,0,4,1
10,1001,2,1,5700,1,12,11,1001,2,1,5700,0,0,0,1,1,38,2,1,294903.84,12.594404,6,0,1,1
10,1013,3,0,2400,1,10,9,1002,1,0,3000,0,0,0,0,0,21,9,0,307538.47,12.636355,6,0,0,1
10,1020,5,0,1000,1,10,9,1002,6,1,12000,0,0,1,0,1,47,12,0,779872.44,13.566886,6,0,4,1
10,1019,6,1,12000,1,10,9,1002,5,1,11000,1,1,0,1,1,51,1,1,1714634.6,14.354711,5,1,6,1
10,1014,6,1,12000,1,10,9,1002,5,0,1000,0,0,1,0,1,38,1,0,163418.88,12.004072,5,0,0,1
10,1018,5,1,11000,1,10,9,1002,4,1,9000,0,0,0,1,1,26,2,1,977949.06,13.793213,10,0,1,1
